epoch,step,train_loss
0,49,0.9790235161781311
0,99,0.6993911862373352
0,149,0.7815169095993042
0,199,0.7284263372421265
0,249,0.7735723853111267
0,299,0.863676130771637
0,349,0.766819417476654
0,399,0.8513283133506775
0,449,0.7467635869979858
0,499,0.8386410474777222
0,549,0.7652496695518494
0,599,0.7281026840209961
0,649,0.6492612361907959
0,699,0.7269766330718994
0,749,0.6542568802833557
0,799,0.7469137907028198
0,849,0.7254929542541504
0,899,0.7665502429008484
0,949,0.8075472116470337
0,999,0.6739081144332886
0,1049,0.7147069573402405
0,1099,0.8144156336784363
0,1149,0.6785474419593811
0,1199,0.8292206525802612
0,1249,0.9007867574691772
0,1299,0.7881215810775757
0,1349,0.9199560284614563
0,1399,0.8099534511566162
0,1449,0.6915345191955566
0,1499,0.7342023253440857
0,1549,0.7218692302703857
0,1599,0.7907450199127197
0,1649,0.6531510949134827
0,1699,0.7950266003608704
0,1749,0.7389921545982361
0,1799,0.5912734270095825
0,1849,0.7688430547714233
0,1899,0.6471716165542603
0,1949,0.5569350719451904
0,1999,0.7124956846237183
0,2049,0.8073379397392273
0,2099,0.7618555426597595
0,2149,0.6137286424636841
0,2199,0.7241218686103821
0,2249,0.8419965505599976
0,2299,0.6710560321807861
