epoch,step,train_loss,val_gleu,val_loss
0,49,0.7717771530151367,,
0,99,0.7466718554496765,,
0,149,0.7883521914482117,,
0,199,0.7672125697135925,,
0,249,0.8786460161209106,,
0,299,0.681283175945282,,
0,349,0.8329434394836426,,
0,399,0.8047438859939575,,
0,449,0.6880310773849487,,
0,499,0.6710007190704346,,
0,549,0.7929102182388306,,
0,599,0.8047491908073425,,
0,649,0.6736217141151428,,
0,699,0.7358484268188477,,
0,749,0.767403244972229,,
0,799,0.7515202164649963,,
0,849,0.7445302605628967,,
0,899,0.636623740196228,,
0,949,0.7454861402511597,,
0,999,0.7356006503105164,,
0,1049,0.6257970333099365,,
0,1099,0.6932481527328491,,
0,1149,0.6239160299301147,,
0,1199,0.6763226985931396,,
0,1249,0.7145059108734131,,
0,1299,0.5878381729125977,,
0,1349,0.7827178835868835,,
0,1399,0.6545037031173706,,
0,1449,0.7336913347244263,,
0,1499,0.6231167316436768,,
0,1549,0.6049235463142395,,
0,1599,0.7926375865936279,,
0,1649,0.6695518493652344,,
0,1699,0.7264148592948914,,
0,1701,,25.562000274658203,0.6671608686447144
1,1749,0.6479904651641846,,
1,1799,0.5556657314300537,,
1,1849,0.5849669575691223,,
1,1899,0.7183170318603516,,
1,1949,0.6090599298477173,,
1,1999,0.6521507501602173,,
1,2049,0.5578954219818115,,
1,2099,0.5127133131027222,,
1,2149,0.5791633129119873,,
1,2199,0.6601380109786987,,
1,2249,0.5396662950515747,,
1,2299,0.6378479599952698,,
1,2349,0.5573629140853882,,
1,2399,0.6862792372703552,,
1,2449,0.6210724711418152,,
1,2499,0.5719481110572815,,
1,2549,0.5778917670249939,,
1,2599,0.6561844944953918,,
1,2649,0.6307547092437744,,
1,2699,0.6060442328453064,,
1,2749,0.47276023030281067,,
1,2799,0.5396007895469666,,
1,2849,0.44883212447166443,,
1,2899,0.5071001648902893,,
1,2949,0.5477014780044556,,
1,2999,0.5316897630691528,,
1,3049,0.5176531076431274,,
1,3099,0.5192022323608398,,
1,3149,0.5106601119041443,,
1,3199,0.5816108584403992,,
1,3249,0.5425400733947754,,
1,3299,0.547478973865509,,
1,3349,0.48838040232658386,,
1,3399,0.5789551734924316,,
1,3403,,26.78420066833496,0.6406387090682983
2,3449,0.41198697686195374,,
2,3499,0.49361446499824524,,
2,3549,0.40118834376335144,,
2,3599,0.5034404993057251,,
2,3649,0.4610303044319153,,
2,3699,0.4771304130554199,,
2,3749,0.5478360652923584,,
2,3799,0.5109597444534302,,
2,3849,0.4924188554286957,,
2,3899,0.5054822564125061,,
2,3949,0.4720124900341034,,
2,3999,0.4079637825489044,,
2,4049,0.48500701785087585,,
2,4099,0.4922387897968292,,
2,4149,0.42226824164390564,,
2,4199,0.5208503007888794,,
2,4249,0.5071391463279724,,
2,4299,0.552336573600769,,
2,4349,0.5164186954498291,,
2,4399,0.49506115913391113,,
2,4449,0.5482933521270752,,
2,4499,0.5730012059211731,,
2,4549,0.4904249310493469,,
2,4599,0.4325188994407654,,
2,4649,0.43632903695106506,,
2,4699,0.4966212213039398,,
2,4749,0.5521466732025146,,
2,4799,0.4041835367679596,,
2,4849,0.5586189031600952,,
2,4899,0.468241423368454,,
2,4949,0.48602503538131714,,
2,4999,0.5755254030227661,,
2,5049,0.4313144385814667,,
2,5099,0.4473956227302551,,
2,5105,,27.081300735473633,0.6449841856956482
3,5149,0.33259809017181396,,
3,5199,0.4296424984931946,,
3,5249,0.3674495220184326,,
3,5299,0.37791118025779724,,
3,5349,0.4389496147632599,,
3,5399,0.412293016910553,,
3,5449,0.4813251495361328,,
3,5499,0.3868924081325531,,
3,5549,0.5168519020080566,,
3,5599,0.545633852481842,,
3,5649,0.41516637802124023,,
3,5699,0.34795400500297546,,
3,5749,0.4101766347885132,,
3,5799,0.4664490520954132,,
3,5849,0.4445657730102539,,
3,5899,0.40386101603507996,,
3,5949,0.500347375869751,,
3,5999,0.37000131607055664,,
3,6049,0.44296398758888245,,
3,6099,0.36413848400115967,,
3,6149,0.4206371307373047,,
3,6199,0.46464768052101135,,
3,6249,0.31944072246551514,,
3,6299,0.5074162483215332,,
3,6349,0.37768346071243286,,
3,6399,0.35541263222694397,,
3,6449,0.39874592423439026,,
3,6499,0.40893876552581787,,
3,6549,0.34425535798072815,,
3,6599,0.4227895736694336,,
3,6649,0.3708931803703308,,
3,6699,0.40048491954803467,,
3,6749,0.40038812160491943,,
3,6799,0.5312339067459106,,
3,6807,,27.56719970703125,0.6461405158042908
4,6849,0.3404773771762848,,
4,6899,0.267307847738266,,
4,6949,0.40589630603790283,,
4,6999,0.3810809850692749,,
4,7049,0.35844355821609497,,
4,7099,0.3549136519432068,,
4,7149,0.3590686619281769,,
4,7199,0.36682090163230896,,
4,7249,0.42824068665504456,,
4,7299,0.3696271777153015,,
4,7349,0.3661978244781494,,
4,7399,0.45343807339668274,,
4,7449,0.4296279847621918,,
4,7499,0.2844785749912262,,
4,7549,0.411125123500824,,
4,7599,0.38693371415138245,,
4,7649,0.3125668168067932,,
4,7699,0.4125249683856964,,
4,7749,0.2952151298522949,,
4,7799,0.386910617351532,,
4,7849,0.3614935576915741,,
4,7899,0.4003818929195404,,
4,7949,0.40429991483688354,,
4,7999,0.37853312492370605,,
4,8049,0.3229502737522125,,
4,8099,0.3678493797779083,,
4,8149,0.43706363439559937,,
4,8199,0.40962859988212585,,
4,8249,0.33014556765556335,,
4,8299,0.3895844519138336,,
4,8349,0.3633285164833069,,
4,8399,0.35998648405075073,,
4,8449,0.32082682847976685,,
4,8499,0.42142531275749207,,
4,8509,,27.21139907836914,0.6650412678718567
5,8549,0.28619280457496643,,
5,8599,0.3501822054386139,,
5,8649,0.3580752909183502,,
5,8699,0.3838683068752289,,
5,8749,0.3448602557182312,,
5,8799,0.2558378279209137,,
5,8849,0.2753685414791107,,
5,8899,0.29546913504600525,,
5,8949,0.31451356410980225,,
5,8999,0.3296959698200226,,
5,9049,0.3521079421043396,,
5,9099,0.37159091234207153,,
5,9149,0.284404993057251,,
5,9199,0.27029573917388916,,
5,9249,0.33483564853668213,,
5,9299,0.3094923198223114,,
5,9349,0.2948276102542877,,
5,9399,0.29675358533859253,,
5,9449,0.29417288303375244,,
5,9499,0.30692926049232483,,
5,9549,0.27913662791252136,,
5,9599,0.30386871099472046,,
5,9649,0.2807403802871704,,
5,9699,0.30108585953712463,,
5,9749,0.214398592710495,,
5,9799,0.28098008036613464,,
5,9849,0.33116614818573,,
5,9899,0.31625986099243164,,
5,9949,0.3043126165866852,,
5,9999,0.27395936846733093,,
5,10049,0.3071401119232178,,
5,10099,0.3100745677947998,,
5,10149,0.3724375069141388,,
5,10199,0.341043084859848,,
5,10211,,27.402999877929688,0.6797721982002258
6,10249,0.2815157175064087,,
6,10299,0.32595327496528625,,
6,10349,0.2729647755622864,,
6,10399,0.25216326117515564,,
6,10449,0.24889515340328217,,
6,10499,0.287089079618454,,
6,10549,0.3391965329647064,,
6,10599,0.28893378376960754,,
6,10649,0.19263316690921783,,
6,10699,0.3104478120803833,,
6,10749,0.25084659457206726,,
6,10799,0.2411891371011734,,
6,10849,0.27993446588516235,,
6,10899,0.2246452271938324,,
6,10949,0.24845559895038605,,
6,10999,0.3026471734046936,,
6,11049,0.20152392983436584,,
6,11099,0.3212517499923706,,
6,11149,0.2998778223991394,,
6,11199,0.23462700843811035,,
6,11249,0.3214268386363983,,
6,11299,0.3182634115219116,,
6,11349,0.34089624881744385,,
6,11399,0.30709025263786316,,
6,11449,0.297565221786499,,
6,11499,0.3074387311935425,,
6,11549,0.2856863737106323,,
6,11599,0.2701464295387268,,
6,11649,0.27414241433143616,,
6,11699,0.252658486366272,,
6,11749,0.23840166628360748,,
6,11799,0.2403225302696228,,
6,11849,0.2462739795446396,,
6,11899,0.22671537101268768,,
6,11913,,27.349000930786133,0.7018128633499146
7,11949,0.2338225543498993,,
7,11999,0.2538979947566986,,
7,12049,0.218229278922081,,
7,12099,0.3236329257488251,,
7,12149,0.25114405155181885,,
