epoch,step,train_loss,val_gleu,val_loss
0,49,0.47592127323150635,,
0,99,0.4029606878757477,,
0,149,0.34245872497558594,,
0,192,,36.20600128173828,0.32565823197364807
1,199,0.3081924021244049,,
1,249,0.32467103004455566,,
1,299,0.3602132201194763,,
1,349,0.3203883767127991,,
1,385,,39.75680160522461,0.2703855633735657
2,399,0.22270578145980835,,
2,449,0.2537992298603058,,
2,499,0.17430686950683594,,
2,549,0.1606404185295105,,
2,578,,43.52909851074219,0.2480434775352478
3,599,0.14218074083328247,,
3,649,0.09955430775880814,,
3,699,0.13166460394859314,,
3,749,0.13687928020954132,,
3,771,,45.69490051269531,0.23014922440052032
4,799,0.08322074264287949,,
4,849,0.1637697070837021,,
4,899,0.10358539968729019,,
4,949,0.11716663092374802,,
4,964,,47.70090103149414,0.2304195761680603
5,999,0.08144509047269821,,
5,1049,0.08888973295688629,,
5,1099,0.12479410320520401,,
5,1149,0.08745081722736359,,
5,1157,,48.50709915161133,0.21962636709213257
6,1199,0.08333411067724228,,
6,1249,0.0676395446062088,,
6,1299,0.060908231884241104,,
6,1349,0.08228331804275513,,
6,1350,,47.635799407958984,0.22433419525623322
7,1399,0.07309383898973465,,
7,1449,0.03990188613533974,,
7,1499,0.06939180940389633,,
7,1543,,49.42449951171875,0.21750816702842712
8,1549,0.04100066423416138,,
8,1599,0.04967709630727768,,
8,1649,0.05592838674783707,,
8,1699,0.03947415202856064,,
8,1736,,49.75699996948242,0.21743392944335938
9,1749,0.06068545952439308,,
9,1799,0.042933251708745956,,
9,1849,0.03220599144697189,,
9,1899,0.0808177962899208,,
9,1929,,49.657100677490234,0.21791687607765198
