epoch,step,train_loss,val_gleu,val_loss
0,49,0.7600081562995911,,
0,99,0.6025858521461487,,
0,149,0.6730039715766907,,
0,199,0.6733191013336182,,
0,249,0.6348664164543152,,
0,299,0.629693329334259,,
0,310,,35.06370162963867,0.5464642643928528
1,349,0.3996162712574005,,
1,399,0.48095351457595825,,
1,449,0.44024983048439026,,
1,499,0.538744330406189,,
1,549,0.4390505850315094,,
1,599,0.4644707143306732,,
1,621,,35.05509948730469,0.5171690583229065
2,649,0.253949910402298,,
2,699,0.3250810503959656,,
2,749,0.35388466715812683,,
2,799,0.34622079133987427,,
2,849,0.29304900765419006,,
2,899,0.3517821431159973,,
2,932,,36.734100341796875,0.5144714117050171
3,949,0.2640802562236786,,
3,999,0.26539283990859985,,
3,1049,0.26887086033821106,,
3,1099,0.2823500335216522,,
3,1149,0.26358747482299805,,
3,1199,0.27769410610198975,,
3,1243,,37.393798828125,0.5198216438293457
4,1249,0.2531795799732208,,
4,1299,0.22184650599956512,,
4,1349,0.18794415891170502,,
4,1399,0.22201946377754211,,
4,1449,0.19492821395397186,,
4,1499,0.20714806020259857,,
4,1549,0.2509922385215759,,
4,1554,,37.86909866333008,0.5292527675628662
5,1599,0.28007200360298157,,
5,1649,0.18423882126808167,,
5,1699,0.15973201394081116,,
5,1749,0.1689387410879135,,
5,1799,0.20940828323364258,,
5,1849,0.14352010190486908,,
5,1865,,38.150901794433594,0.5350332856178284
6,1899,0.1584407091140747,,
6,1949,0.1671823263168335,,
6,1999,0.1402597278356552,,
6,2049,0.14264585077762604,,
6,2099,0.18551085889339447,,
6,2149,0.14933152496814728,,
6,2176,,38.96979904174805,0.5408089756965637
7,2199,0.11109358072280884,,
7,2249,0.10995236039161682,,
7,2299,0.16699638962745667,,
7,2349,0.14915895462036133,,
7,2399,0.1537628471851349,,
7,2449,0.13210205733776093,,
7,2487,,38.495399475097656,0.5480909943580627
8,2499,0.10633865743875504,,
8,2549,0.11512909084558487,,
8,2599,0.13509418070316315,,
8,2649,0.15154990553855896,,
8,2699,0.10960981994867325,,
8,2749,0.15132714807987213,,
8,2798,,38.31529998779297,0.5506558418273926
9,2799,0.12097100168466568,,
9,2849,0.10002567619085312,,
9,2899,0.12552954256534576,,
9,2949,0.07493149489164352,,
9,2999,0.09984338283538818,,
9,3049,0.1116693764925003,,
9,3099,0.07941088825464249,,
9,3109,,38.179901123046875,0.5534383058547974
